"","playerID","yearID","ballots","needed","votes","inducted","category","name_given","name_nick"
"261","crawfsa01",1938,262,197,11,"N","Player","Samuel Earl","Wahoo Sam"
"262","crigelo01",1938,262,197,11,"N","Player","Louis",""
"263","griffcl01",1938,262,197,10,"N","Pioneer/Executive","Clark Calvin","The Old Fox"
"264","marquru01",1938,262,197,10,"N","Player","Richard William",""
"265","vanceda01",1938,262,197,10,"N","Player","Charles Arthur",""
"266","roushed01",1938,262,197,9,"N","Player","Edd J.",""
"267","gowdyha01",1938,262,197,8,"N","Player","Harry Morgan",""
"268","rusieam01",1938,262,197,8,"N","Player","Amos Wilson","The Hoosier Thunderbolt"
"269","tennefr02",1938,262,197,8,"N","Player","Frederick",""
"270","altroni01",1938,262,197,7,"N","Player","Nicholas",""
"271","archeji01",1938,262,197,7,"N","Player","James Patrick",""
"272","combsea01",1938,262,197,7,"N","Player","Earle Bryan","The Kentucky Colonel"
"273","terrybi01",1938,262,197,7,"N","Player","William Harold","Memphis Bill"
"274","wallabo01",1938,262,197,7,"N","Player","Roderick John",""
"275","wheatza01",1938,262,197,7,"N","Player","Zachariah Davis","Buck"
"276","careyma01",1938,262,197,6,"N","Player","Max George","Scoops"
"277","woodjo02",1938,262,197,6,"N","Player","Joe","Smokey Joe"
"278","donlimi01",1938,262,197,5,"N","Player","Michael Joseph","Turkey Mike"
"279","lewisdu01",1938,262,197,5,"N","Player","George Edward",""
"280","nehfar01",1938,262,197,5,"N","Player","Arthur Neukom",""
"281","carribi02",1938,262,197,4,"N","Player","William Francis","Rough"
"282","dinnebi01",1938,262,197,4,"N","Player","William Henry","Big Bill"
"283","doylela01",1938,262,197,4,"N","Player","Lawrence Joseph","Laughing Larry"
"284","hoopeha01",1938,262,197,4,"N","Player","Harry Bartholomew",""
"285","mcinnst01",1938,262,197,4,"N","Player",NA,NA
"286","barryja01",1938,262,197,3,"N","Player",NA,NA
"287","burnsge01",1938,262,197,3,"N","Player","George Joseph",""
"288","fletcar01",1938,262,197,3,"N","Player","Arthur",""
"289","grohhe01",1938,262,197,3,"N","Player","Henry Knight",""
